original_relative	target_file	pattern	colors	buckets
58인치/스트라이프/IMG_8057.HEIC	IMG_8057_블루_스트라이프.HEIC	스트라이프	블루	블루:0.657,네이비:0.157,그레이:0.077,레드:0.072,차콜:0.035
58인치/스트라이프/IMG_8058.HEIC	IMG_8058_그레이-블루_스트라이프.HEIC	스트라이프	그레이,블루	블루:0.396,네이비:0.385,그레이:0.137,차콜:0.058,아이보리:0.025
58인치/스트라이프/IMG_8059.HEIC	IMG_8059_네이비_스트라이프.HEIC	스트라이프	네이비	네이비:0.561,블루:0.435,핑크:0.001,오프화이트:0.001,화이트:0.000
58인치/스트라이프/IMG_8060.HEIC	IMG_8060_그레이-블루_스트라이프.HEIC	스트라이프	그레이,블루	블루:0.823,그레이:0.089,아이보리:0.087,오프화이트:0.000,스카이블루:0.000
58인치/스트라이프/IMG_8061.HEIC	IMG_8061_블루_스트라이프.HEIC	스트라이프	블루	블루:0.597,네이비:0.251,오프화이트:0.041,스카이블루:0.041,핑크:0.026
58인치/스트라이프/IMG_8062.HEIC	IMG_8062_네이비_스트라이프.HEIC	스트라이프	네이비	네이비:0.462,레드:0.316,블루:0.152,핑크:0.043,그레이:0.018
58인치/스트라이프/IMG_8063.HEIC	IMG_8063_네이비_스트라이프.HEIC	스트라이프	네이비	네이비:0.436,블루:0.360,브라운:0.050,아이보리:0.039,오프화이트:0.035
58인치/스트라이프/IMG_8064.HEIC	IMG_8064_블루_스트라이프.HEIC	스트라이프	블루	블루:0.909,네이비:0.079,그레이:0.006,차콜:0.006
58인치/스트라이프/IMG_8065.HEIC	IMG_8065_블루_스트라이프.HEIC	스트라이프	블루	블루:0.704,버건디:0.166,레드:0.067,핑크:0.035,네이비:0.010
58인치/스트라이프/IMG_8066.HEIC	IMG_8066_블루_스트라이프.HEIC	스트라이프	블루	블루:0.865,레드:0.099,핑크:0.030,오프화이트:0.004,버건디:0.002
58인치/스트라이프/IMG_8067.HEIC	IMG_8067_그레이-블루_스트라이프.HEIC	스트라이프	그레이,블루	블루:0.417,레드:0.205,네이비:0.204,그레이:0.084,핑크:0.037
58인치/스트라이프/IMG_8068.HEIC	IMG_8068_아이보리-블루_스트라이프.HEIC	스트라이프	아이보리,블루	블루:0.663,아이보리:0.179,그레이:0.158,오프화이트:0.000
58인치/스트라이프/IMG_8069.HEIC	IMG_8069_그레이-블루_스트라이프.HEIC	스트라이프	그레이,블루	그레이:0.275,차콜:0.167,블루:0.145,핑크:0.121,네이비:0.120
58인치/스트라이프/IMG_8070.HEIC	IMG_8070_레드_스트라이프.HEIC	스트라이프	레드	레드:0.467,버건디:0.315,핑크:0.102,블루:0.072,오프화이트:0.035
58인치/스트라이프/IMG_8071.HEIC	IMG_8071_차콜-블루_스트라이프.HEIC	스트라이프	차콜,블루	차콜:0.355,블루:0.258,그레이:0.237,아이보리:0.099,오프화이트:0.040
58인치/옥스포드/IMG_8034.HEIC	IMG_8034_블루_옥스포드.HEIC	옥스포드	블루	블루:1.000
58인치/옥스포드/IMG_8035.HEIC	IMG_8035_그레이_옥스포드.HEIC	옥스포드	그레이	그레이:0.944,차콜:0.054,아이보리:0.002,블루:0.000
58인치/옥스포드/IMG_8036.HEIC	IMG_8036_그레이-블루_옥스포드.HEIC	옥스포드	그레이,블루	블루:0.557,그레이:0.414,차콜:0.029,아이보리:0.000
58인치/옥스포드/IMG_8037.HEIC	IMG_8037_블루_옥스포드.HEIC	옥스포드	블루	블루:1.000
58인치/옥스포드/IMG_8038.HEIC	IMG_8038_블루_옥스포드.HEIC	옥스포드	블루	블루:1.000
58인치/옥스포드/IMG_8039.HEIC	IMG_8039_스카이블루_옥스포드.HEIC	옥스포드	스카이블루	스카이블루:1.000
58인치/옥스포드/IMG_8040.HEIC	IMG_8040_스카이블루_옥스포드.HEIC	옥스포드	스카이블루	스카이블루:1.000
58인치/옥스포드/IMG_8041.HEIC	IMG_8041_그레이_옥스포드.HEIC	옥스포드	그레이	그레이:0.895,아이보리:0.048,오렌지:0.034,베이지:0.012,레드:0.011
58인치/옥스포드/IMG_8042.HEIC	IMG_8042_레드_옥스포드.HEIC	옥스포드	레드	레드:1.000
58인치/옥스포드/IMG_8043.HEIC	IMG_8043_레드_옥스포드.HEIC	옥스포드	레드	레드:1.000
58인치/옥스포드/IMG_8044.HEIC	IMG_8044_베이지-오렌지_옥스포드.HEIC	옥스포드	베이지,오렌지	베이지:0.636,오렌지:0.364
58인치/옥스포드/IMG_8045.HEIC	IMG_8045_레드_옥스포드.HEIC	옥스포드	레드	레드:0.808,오렌지:0.186,베이지:0.005
58인치/옥스포드/IMG_8046.HEIC	IMG_8046_그레이_옥스포드.HEIC	옥스포드	그레이	그레이:1.000
58인치/옥스포드/IMG_8047.HEIC	IMG_8047_그레이_옥스포드.HEIC	옥스포드	그레이	그레이:0.997,아이보리:0.003,레드:0.000,오렌지:0.000
58인치/옥스포드/IMG_8048.HEIC	IMG_8048_레드_옥스포드.HEIC	옥스포드	레드	레드:0.999,버건디:0.001
58인치/옥스포드/IMG_8049.HEIC	IMG_8049_그레이_옥스포드.HEIC	옥스포드	그레이	그레이:0.999,차콜:0.001,버건디:0.000,아이보리:0.000
58인치/옥스포드/IMG_8050.HEIC	IMG_8050_레드_옥스포드.HEIC	옥스포드	레드	레드:1.000
58인치/옥스포드/IMG_8051.HEIC	IMG_8051_베이지-오렌지_옥스포드.HEIC	옥스포드	베이지,오렌지	베이지:0.913,오렌지:0.087
58인치/옥스포드/IMG_8052.HEIC	IMG_8052_오렌지_옥스포드.HEIC	옥스포드	오렌지	오렌지:0.954,베이지:0.046
58인치/옥스포드/IMG_8053.HEIC	IMG_8053_아이보리-그레이_옥스포드.HEIC	옥스포드	아이보리,그레이	아이보리:0.650,그레이:0.350
58인치/옥스포드/IMG_8054.HEIC	IMG_8054_그레이_옥스포드.HEIC	옥스포드	그레이	그레이:1.000
58인치/체크/IMG_8018.HEIC	IMG_8018_블루_체크.HEIC	체크	블루	블루:0.589,네이비:0.390,그레이:0.013,아이보리:0.006,핑크:0.001
58인치/체크/IMG_8019.HEIC	IMG_8019_블루_체크.HEIC	체크	블루	블루:0.988,네이비:0.012,오프화이트:0.001
58인치/체크/IMG_8020.HEIC	IMG_8020_그레이-네이비_체크.HEIC	체크	그레이,네이비	네이비:0.284,그레이:0.229,블루:0.203,차콜:0.152,아이보리:0.103
58인치/체크/IMG_8030.HEIC	IMG_8030_아이보리-블루_체크.HEIC	체크	아이보리,블루	블루:0.465,네이비:0.250,아이보리:0.169,오프화이트:0.115,레드:0.000
58인치/체크/IMG_8031.HEIC	IMG_8031_그레이-네이비_체크.HEIC	체크	그레이,네이비	네이비:0.307,블루:0.262,그레이:0.126,핑크:0.109,오프화이트:0.081
58인치/체크/IMG_8032.HEIC	IMG_8032_오프화이트-레드_체크.HEIC	체크	오프화이트,레드	레드:0.417,버건디:0.323,오프화이트:0.161,아이보리:0.044,핑크:0.041
58인치/체크/IMG_8033.HEIC	IMG_8033_오프화이트-네이비_체크.HEIC	체크	오프화이트,네이비	오프화이트:0.269,그레이:0.237,차콜:0.155,네이비:0.119,아이보리:0.089
58인치/체크/IMG_8072.HEIC	IMG_8072_블루_체크.HEIC	체크	블루	블루:0.605,네이비:0.358,핑크:0.021,레드:0.008,오프화이트:0.005
58인치/체크/IMG_8073.HEIC	IMG_8073_레드_체크.HEIC	체크	레드	레드:0.509,버건디:0.431,핑크:0.043,블루:0.017,오프화이트:0.000
58인치/체크/IMG_8074.HEIC	IMG_8074_차콜-네이비_체크.HEIC	체크	차콜,네이비	차콜:0.305,그레이:0.303,아이보리:0.108,네이비:0.092,오프화이트:0.078
58인치/체크/IMG_8075.HEIC	IMG_8075_그레이-네이비_체크.HEIC	체크	그레이,네이비	네이비:0.345,그레이:0.314,블루:0.180,차콜:0.069,아이보리:0.068
58인치/체크/IMG_8076.HEIC	IMG_8076_블루_체크.HEIC	체크	블루	블루:0.939,아이보리:0.060,오프화이트:0.001,그레이:0.001,핑크:0.000
58인치/체크/IMG_8077.HEIC	IMG_8077_레드_체크.HEIC	체크	레드	레드:0.744,핑크:0.128,아이보리:0.073,그레이:0.055
58인치/체크/IMG_8078.HEIC	IMG_8078_아이보리-오렌지_체크.HEIC	체크	아이보리,오렌지	오렌지:0.438,아이보리:0.185,그레이:0.170,브라운:0.095,베이지:0.050
58인치/체크/IMG_8079.HEIC	IMG_8079_블루_체크.HEIC	체크	블루	블루:0.683,레드:0.189,그레이:0.080,핑크:0.048
58인치/체크/IMG_8081.HEIC	IMG_8081_레드_체크.HEIC	체크	레드	레드:0.799,블루:0.123,그레이:0.072,핑크:0.006,버건디:0.000
58인치/체크/IMG_8082.HEIC	IMG_8082_그레이-블루_체크.HEIC	체크	그레이,블루	블루:0.568,레드:0.147,그레이:0.081,핑크:0.074,퍼플:0.060
58인치/체크/IMG_8083.HEIC	IMG_8083_레드_체크.HEIC	체크	레드	레드:0.614,블루:0.141,버건디:0.116,핑크:0.073,퍼플:0.051
58인치/체크/IMG_8084.HEIC	IMG_8084_아이보리-블루_체크.HEIC	체크	아이보리,블루	블루:0.663,아이보리:0.226,그레이:0.052,핑크:0.038,레드:0.021
58인치/체크/IMG_8085.HEIC	IMG_8085_아이보리-레드_체크.HEIC	체크	아이보리,레드	레드:0.366,아이보리:0.214,핑크:0.165,버건디:0.155,그레이:0.054
58인치/체크/IMG_8086.HEIC	IMG_8086_차콜-블루_체크.HEIC	체크	차콜,블루	차콜:0.367,그레이:0.196,블루:0.188,아이보리:0.109,오프화이트:0.093
58인치/체크/IMG_8087.HEIC	IMG_8087_블루_체크.HEIC	체크	블루	블루:0.498,스카이블루:0.386,네이비:0.066,그레이:0.037,아이보리:0.011
58인치/체크/IMG_8088.HEIC	IMG_8088_블루_체크.HEIC	체크	블루	블루:0.860,네이비:0.098,그레이:0.017,스카이블루:0.017,아이보리:0.005
